,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.7267064,-0.4999371,-0.8010777,-0.94904447,-0.8165574,-0.5846237,-0.2869691,-0.8234828,-0.8664937,-0.29194355,-0.77985597,-1.2730192,-0.9742043,-0.4551871,-0.11788357,-0.28712684
1,-1.0982279,-0.43582147,-1.0542152,-0.2531702,-0.780266,-0.67955935,-0.56675017,0.49964112,-1.1298677,-0.25371286,-0.8101567,-1.2113074,-1.3881973,-1.0283018,-0.98867285,-0.36242414
2,-1.0363076,-0.94874644,-0.47561532,0.31618148,-1.360929,-0.8377855,-0.6786626,-0.5690359,-0.7707214,-0.71248126,-0.9010591,-0.96446025,-1.2107717,-0.7586008,-0.6537539,-1.0024512
3,-0.23134434,1.7761675,0.06682206,0.37944278,2.8488781,1.3457352,0.72024274,1.1103137,0.30671754,0.39620906,1.583605,0.20806392,0.6817677,0.21906547,1.288776,0.35290024
4,-0.26230446,0.0129879,0.42844698,1.075317,0.7076831,0.11157133,0.04876819,1.5174288,0.6179777,-0.024328642,0.34127298,0.5166229,1.1549026,0.6573297,0.7194138,-0.3247755
5,0.5426588,0.10916133,-0.15015289,0.9487945,1.1431804,0.11157133,0.7761989,0.7031986,0.52220535,-0.25371286,-0.052637182,0.08464032,0.14949098,0.32020336,0.38449487,-0.061234925
6,-0.7267064,0.20533477,-0.6202653,-0.69599926,-0.8528488,-0.10994527,0.27259305,-1.0270404,-0.4834043,-0.94186544,0.12916751,-0.34734225,-0.08707645,-0.556325,-0.35232684,-0.8518566
7,-0.26230446,0.077103525,0.3199595,-0.4429541,0.48993444,0.8077663,-0.5107939,0.8558668,0.68980694,-0.100790046,0.22006986,-0.71761304,-0.38278574,-0.084348194,-0.18486735,0.12700833
8,-1.0053475,-0.98080426,-1.4158401,-1.6449188,-1.3972205,-0.5846237,-1.3501371,-0.009252703,-1.1777538,-0.94186544,-1.2949692,-1.64329,-1.6839066,-1.3654281,-1.2901,-0.8518566
9,-0.47902533,-0.019069912,-0.113990396,0.44270408,0.19960292,-0.80614024,0.5523741,-0.5690359,-0.43551815,-0.82717335,0.52307767,-0.16220687,-0.02793459,-0.11806082,1.288776,-0.36242414
10,-0.69574624,-0.30759022,-0.72875273,-0.18990889,-1.2883462,-0.20488095,-1.070356,-0.92526156,-0.6988921,-0.750712,0.09886672,-0.7793248,-0.79677874,-0.5226124,-1.0221647,-1.0400999
11,-0.6028659,-0.72434175,-0.72875273,-1.2653509,-0.56251734,-0.55297846,-0.9024874,-0.009252703,-0.3397458,-0.7889427,0.6442808,-1.1495956,-0.9742043,-0.59003764,-0.5197863,-0.88950527
12,0.10921705,-0.019069912,-0.8010777,0.37944278,-0.30847725,-0.23652618,-0.0071880245,-0.21281023,-0.38763198,-0.100790046,-0.56775045,-0.65590125,0.031207265,-0.4551871,-0.6872458,0.27760294
13,-0.5409456,0.36562383,-0.36712784,0.6957493,-0.56251734,1.4406708,-0.8465312,-0.21281023,-0.4834043,-0.750712,0.85638624,-0.65590125,-0.5010694,-0.25291133,-0.41931063,-0.6259647
14,0.047296792,-0.43582147,-0.15015289,-0.94904447,-0.34476867,-0.07830004,-0.3429253,-0.21281023,0.16305903,0.51090115,-0.29504344,0.14635211,0.85919327,-0.18548608,0.11655971,0.20230563
