,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-0.38561493,-0.19921558,-0.4634368,-0.94925666,-0.26278803,0.5169287,1.1281804,-0.62436956,-0.8636537,0.67516166,-0.59022117,0.12215188,0.005672611,-0.29273376,-0.5699357,0.43860117,-0.14238556,3.072215,-0.53356576,-0.1965114,-0.28769124,-0.19141018,0.7426902,0.5751858,-0.31630358,1.6660793,-1.1195667,0.17532496,-0.26343924,1.3722656,1.0294517,-0.5517608,1.6670979,2.311124,-0.14119329,-0.061866023,0.568982,0.0030480954,0.1346496,0.47838145,0.6923358,-0.25132254,0.4706657,0.74040115,-0.5265732,1.5281268,-0.275577,-0.7619947,0.52193993,0.742036,-0.70334667,0.82469666,1.9291718,1.6187179,-0.0386284,0.05138428,2.89198,0.17303328,-0.11152639,0.07550405,-0.3200973,0.29333273,-0.783854,0.9464176,-1.0560075,0.91075486,1.942763,-0.22307515,-0.4078122,-0.3376484,0.025391204,0.872797,1.6489002,0.46517447,1.1589955,-1.2189867,0.0014266446,0.55940765,0.027847001,-0.28989,-0.23016347,0.25821462,-0.7645759,1.6468096,-0.3507945,-1.2808956,0.046323266,0.54302484,1.6896663,-0.29872096,2.336126,-0.02846794,1.5925368,0.43911287,-0.4571556,0.019750036,2.104956,1.1652627,0.574482,-1.2620862
1,-0.38561493,-0.67695534,0.9479933,0.592989,0.4165005,0.9514236,-1.1364428,0.17102574,-0.32458037,-1.4125885,0.24400204,-0.7019664,1.0307938,1.071886,-0.22722927,-0.78080624,0.1556376,-0.77652436,-0.53356576,-0.37470987,-0.8418984,0.03810063,0.021728609,-0.8079155,0.30645752,-0.7775036,0.19612852,-0.16786437,-0.37935254,-0.9972745,-0.68646276,-0.89615756,-0.33841968,-0.92398924,0.5187958,-0.24281532,-0.74698764,-0.8134791,-0.06226584,-0.7179662,0.25796267,-0.86492544,0.3315554,-1.2286406,0.27356508,-0.92021924,-0.6246182,0.2694909,-0.5716484,-0.9707019,0.7259442,0.6170864,-0.4944002,-0.82014024,0.78436,-0.34456167,-0.8718977,0.17303328,-0.60224265,0.21392815,-0.104998745,-0.59103465,0.16996595,-0.14621969,1.2153624,0.91075486,-1.0152253,-0.9016886,0.1767571,-0.85122585,0.025391204,-0.7446325,-0.44025725,-0.8875743,-0.38308114,0.72133684,-0.28733802,-1.0044612,0.47516686,-0.69599277,0.9097652,-1.3432959,0.76608837,-1.1605847,-0.9692683,0.8553377,0.8834504,-0.10387459,-0.72664404,0.31406072,-1.314718,0.14100021,-0.787254,0.43911287,0.18719184,1.2689356,-0.86191785,-0.6796151,-0.2343324,-0.47196478
2,2.075964,0.03965431,-0.4634368,-0.77789605,1.2656112,-0.5693086,-0.43963566,0.3301048,-0.6839626,-1.6023839,1.2867811,0.828539,0.4157211,0.45160428,0.80088997,-0.08400202,1.1987185,0.38976032,0.36698222,0.33808404,0.081780195,2.7922304,1.8241327,-0.017571906,0.30645752,1.0551835,-0.5556973,0.34691963,-0.031612683,0.9165848,-0.19620146,-0.5517608,1.2042862,0.4994606,-1.131177,0.48098186,1.0076386,0.0030480954,2.3007195,-0.31918368,0.25796267,0.8224825,1.5835482,-0.17848496,0.0735305,1.1942616,0.073464185,0.88838226,0.88646936,1.1226444,1.2023745,-0.21335436,2.0638146,2.1321616,0.1671187,0.44733024,1.8165864,-0.040515028,0.37918988,2.4287138,-1.1804916,-0.59103465,3.0314257,-1.238857,2.7296088,1.9039488,-0.42362761,1.3603561,-0.7975251,0.0047365534,-0.5252349,0.33365384,1.7588557,0.9160907,1.1589955,-0.5722122,2.3115437,-0.58742946,-0.8667927,-0.20866942,-0.8001278,0.3916738,0.9574214,0.37072128,0.113060884,0.0008443469,2.72513,1.0281994,-0.0017509395,0.10980016,1.5424644,0.988341,-0.12620097,2.6222134,0.40197432,-0.39664513,1.58139,1.9032137,0.41271916,1.1082779
3,0.59901655,2.4283533,0.5447275,0.25026774,0.75614476,-0.786556,-0.6138374,0.17102574,-0.32458037,-0.084020175,-0.7987769,-0.58423525,-1.0194486,1.3199986,-0.22722927,-0.2582031,0.1556376,-0.77652436,-0.17334656,-0.37470987,-0.10295552,0.03810063,0.9229306,2.2546659,-0.31630358,-0.31933182,0.008172063,1.3764876,-0.84300566,0.3697678,-0.9315934,-0.322163,-0.029878508,-0.40637112,-0.6361851,0.30003256,1.0076386,0.0030480954,-0.06226584,0.07959889,0.25796267,-0.09792182,0.053334758,1.3967484,-0.12650406,0.74910766,-0.4500976,1.0946794,1.2509989,0.17112336,0.01129878,0.6170864,-1.0329717,-0.049974512,0.1671187,-0.47654364,0.74119276,1.0272264,0.21561778,0.49077636,-0.75029445,-0.29624555,0.010995954,0.6342355,0.83680075,-0.082439065,-0.81802607,-0.67548406,-0.4078122,-0.50884086,-0.5252349,-0.5905916,0.65929925,0.014258198,-0.38308114,-0.1410292,1.012103,0.66366553,-0.8667927,-0.4523311,-0.61013967,1.0589699,0.0007562444,0.62593895,0.26767933,1.2825843,0.54859954,0.21957512,-0.40446934,0.10980016,1.2249997,-0.02846794,1.0636944,0.43911287,1.2611042,1.2689356,-0.6873959,-0.18764769,0.574482,-0.076904096
4,-0.057404425,0.2785242,0.34309465,0.07890712,-0.94207656,-0.13481367,0.43137324,0.96642107,-0.6839626,-0.65340656,-0.38166535,0.59307665,0.21069686,-0.7889591,-0.22722927,1.1354054,0.60267234,0.1565034,-0.7136754,-0.1965114,-1.2113699,0.26761144,-0.15851179,-0.61032957,1.1368057,-0.01388398,1.1359109,-0.68264836,0.0843006,-0.90613836,0.1714945,-0.4369619,-0.18414909,1.2758878,-0.8011824,-0.061866023,-0.45454994,3.4506073,0.33156505,-0.31918368,-0.8279701,-0.40472326,-0.6422168,-0.17848496,1.4737725,-0.47506538,-0.275577,0.88838226,-0.5716484,-0.20948507,0.48772907,-0.6285747,0.44810003,-0.049974512,0.78436,-0.0805977,-0.8718977,1.0272264,-0.7658147,0.21392815,-0.104998745,-0.73842925,-0.465914,0.1659624,-0.109603345,-0.082439065,0.95676696,-0.22307515,-0.60266864,-0.85122585,-0.34169286,-0.28250977,0.3294323,2.0433815,-0.5372888,-1.0033952,0.2901913,0.14237596,-0.19581293,-0.20866942,0.529789,-0.9429183,1.1487545,-0.52254057,-0.50541294,0.21446767,0.716025,0.38129997,-0.40446934,-0.50298154,-0.20359154,-0.02846794,-0.39062217,-0.5311541,0.40197432,-0.18844755,-0.33835188,0.18132786,-0.55785817,-0.27443445
5,1.2554376,-0.91582525,-1.0683354,-0.09245351,-1.1118987,0.29968125,1.9991893,1.4436582,-0.32458037,0.29557076,2.121004,0.94627017,0.4157211,1.9402803,1.8290093,2.1806116,1.9437765,4.005243,-0.35345617,0.8726795,3.591759,0.26761144,1.6438923,-0.11636485,-0.5238906,2.582423,-0.36774084,-0.5110537,-0.6111791,-0.17704912,3.1130621,-0.5517608,2.2841802,2.4405286,-0.6361851,0.48098186,3.34714,0.5473996,-0.8499276,0.877164,0.9095223,-0.40472326,2.9746516,0.21532337,-0.72660774,1.8619921,0.073464185,0.06319376,3.9849696,1.1226444,-0.4651315,0.82469666,2.4677434,6.368073,0.3728658,2.031114,2.89198,-0.25406334,0.37918988,3.120834,0.32519838,-0.4436401,3.6673057,1.2585998,0.64751995,2.2350135,-0.22642839,0.6817427,-0.018099336,1.2030839,-0.70877695,-0.8986734,3.957969,0.6906326,1.1589955,-0.5722122,0.57895595,-0.58742946,0.47516686,0.76597726,-0.42015156,3.7281542,-0.57324284,2.5400715,4.2877593,0.42809102,1.5531521,2.3219981,2.1729283,-0.7072421,2.336126,1.4967455,0.7992732,-1.5014211,-0.4571556,-0.39664513,1.057824,5.4699774,0.25095627,0.71321726
6,1.5836481,-0.43808547,-0.06017108,-0.26381415,1.0957891,-0.5693086,-0.26543388,0.17102574,-0.6839626,0.10577529,-1.0073327,-0.7019664,0.21069686,1.816224,2.3430688,1.1354054,1.5712476,0.27313185,0.5470918,0.33808404,-0.8418984,0.49712223,0.3822094,-0.4127437,-0.10871655,0.59701174,0.008172063,-0.5110537,-0.9589189,-0.54159373,-0.4413321,-0.89615756,0.12439208,-0.79458475,0.02380399,0.48098186,-0.45454994,2.4526296,0.33156505,0.27899018,1.1267089,-0.558124,0.609776,-0.70356274,-0.32653862,-0.47506538,0.59702593,0.06319376,1.0687342,-0.019180857,-0.4651315,0.6170864,0.044171352,0.59183025,-0.0386284,0.31534824,-0.19977668,-0.25406334,-0.43867058,0.49077636,-0.96539295,-1.0332184,0.8058459,0.009871354,0.83680075,0.91075486,0.16797006,0.0031293125,-0.4078122,-0.16645592,-0.89231896,-1.0527143,-0.110390306,1.8179232,0.079541855,-0.1410292,1.7340145,-1.1087191,0.027847001,0.11621281,-0.9901159,-0.8094591,0.19208927,-0.13971406,-0.50541294,0.21446767,2.0554285,-0.10387459,-0.80718774,-0.50298154,0.43133786,2.6830225,-0.52283275,-0.5311541,2.5497992,-0.18844755,-0.5128739,0.5503034,-0.2343324,0.71321726
7,1.7477534,-0.67695534,0.14146179,-0.77789605,-1.2817208,-0.5693086,0.9539786,0.48918387,-0.32458037,-0.27381563,0.6611136,-0.58423525,0.21069686,0.32754794,1.4863029,-0.08400202,0.9752013,0.27313185,0.18687262,0.694481,-0.10295552,0.03810063,2.004373,-0.11636485,1.1368057,0.4442878,0.7599979,0.5185143,-0.37935254,-0.6327299,-0.8090281,-0.4369619,0.7414744,-0.92398924,-0.96617967,-0.42376462,1.5925139,0.0030480954,2.8914657,-0.9173575,1.7782685,0.5156811,1.8617688,0.084053926,0.67363423,-0.1412,-0.275577,1.3009765,1.2509989,-0.019180857,-0.22691636,1.239917,0.17881425,0.33510834,0.3728658,-0.0805977,-0.3342009,0.3865816,0.21561778,2.5671377,-0.5351959,0.88291097,0.010995954,-0.61449283,0.64751995,1.0762872,-0.029229162,0.45553824,-0.60266864,-0.6800333,-0.89231896,-0.51357114,0.43938795,-0.32392898,0.6963725,0.29015383,1.3008676,-0.7959453,0.9224867,-0.28989,-0.42015156,-0.27562222,2.1054194,-0.6501494,-0.6600314,-0.21277899,1.888003,1.351649,-0.24338198,-1.1157632,-0.04485919,0.81887287,-0.39062217,0.9242464,1.2611042,1.2689356,-0.33835188,0.67329526,1.3832966,0.3181566
8,-1.2061411,-1.632435,-1.2699683,-1.4633385,-1.2817208,-1.4382983,-1.4848464,-1.2606858,-1.2230359,-1.6023839,-1.4244443,-1.05516,-1.8395456,-0.9130154,-1.2553486,-1.4776105,-0.7384319,-1.2430382,-1.4341137,-1.2657022,-1.3961055,-1.3389642,-1.4201946,-1.5982591,-1.5618259,-1.2356755,-1.4954796,-1.369027,-0.9589189,-1.0884107,-1.2992893,-0.89615756,-1.4183137,-1.3122028,-1.2961742,-1.3285111,-1.1856441,-1.0856549,-1.6375893,-1.31614,-1.6967163,-1.1717268,-1.0595478,-1.2286406,-1.526746,-1.1427962,-1.3227005,-1.5871832,-1.3007073,-1.3513104,-1.6562072,-1.4590156,-1.3022575,-1.2052231,-1.4788581,-1.2684356,-1.2751703,-1.7489015,-1.256531,-1.0318887,-1.1804916,-1.4754021,-1.419734,-1.394948,-1.4345691,-1.4066976,-1.4096237,-1.3540975,-1.187238,-1.1936108,-1.442945,-1.1297348,-0.88007987,-1.1130325,-1.3083271,-1.4345783,-1.2980143,-1.4214928,-1.5377725,-0.77721334,-1.180104,-1.3432959,-1.5299081,-1.1605847,-1.2785052,-1.494519,-1.2930802,-1.3976734,-0.8877314,-1.3200238,-1.314718,-1.214745,-1.1838857,-1.5014211,-1.531068,-1.8540282,-1.3854839,-1.1715825,-1.2049097,-1.2620862
9,1.7477534,-0.67695534,-0.4634368,-0.77789605,1.7750776,-0.13481367,2.3475928,2.0799744,0.5738752,-0.84320205,0.86966944,1.5349262,0.005672611,0.2034916,-0.22722927,2.5290139,1.9437765,2.7223296,1.0874206,1.7636719,2.2986088,2.7922304,-0.15851179,-1.1042943,1.1368057,2.1242511,1.1359109,0.69010895,0.31612715,-0.2681853,1.2745824,-0.4369619,2.2841802,0.8876742,-0.30619055,0.8428804,4.370672,-0.8134791,-0.65301216,-0.11979239,0.6923358,2.203089,2.1399894,2.5781734,1.8738416,3.4200306,0.24798478,-0.7619947,0.52193993,2.2644696,-1.4179921,1.8627477,2.6023865,3.2874103,-0.2443755,0.05138428,4.2362223,-0.8947083,0.37918988,3.6745307,0.110099815,1.7672784,0.6468759,1.2585998,2.3510473,1.0762872,-0.42362761,2.0389695,-0.21295577,2.0590463,0.94310135,-0.28250977,5.8272147,-0.43665805,0.6963725,-0.5722122,1.5896323,-1.2129769,2.0407863,-0.53355163,-0.8001278,2.7939398,1.1487545,3.4333332,5.0608516,-0.6400257,0.38117412,2.3219981,-0.24338198,-0.0944604,2.4948585,0.81887287,3.3112748,-0.5311541,1.0463217,-0.6048427,3.1520877,3.379116,3.0009255,0.91074765
